K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
409;Hindelbank;2094.0;245;6;17;;7.23;5.88;13.15;8.92;8.37;8.39;6.66;6.03;3.85;6.36
580;Hofstetten b.B.;567.0;250;11;17;;61.54;55.46;47.29;33.99;36.86;34.50;33.44;28.64;28.12;26.93
931;Homberg;502.0;247;24;21;;82.72;97.38;79.39;70.94;56.62;44.07;40.72;29.56;28.51;29.19
932;Horrenbach-Buchen;259.0;247;24;21;;108.65;63.75;49.05;53.56;30.88;35.55;37.24;30.64;29.83;33.66
954;Huttwil;4726.0;244;25;18;;55.08;51.80;48.73;35.51;33.21;23.60;22.27;20.49;17.68;15.92
609;Häutligen;239.0;246;12;21;;130.65;81.86;99.50;84.77;90.58;73.73;67.44;65.60;66.26;55.24
410;Höchstetten;258.0;245;6;19;;57.46;51.09;38.24;31.57;23.40;18.78;20.69;25.06;18.41;8.40
930;Höfen;441.0;247;24;16;;166.65;144.60;178.14;140.43;94.91;94.92;93.23;74.54;63.21;43.20
541;Iffwil;409.0;246;9;20;;3.25;1.96;2.38;1.93;5.30;5.22;4.11;3.78;6.31;4.54
980;Inkwil;638.0;244;26;15;;3.61;9.24;10.84;8.86;1.35;1.10;2.49;1.18;1.19;1.82
784;Innertkirchen;886.0;250;18;19;;64.50;57.28;38.16;37.93;36.57;38.36;32.79;40.66;41.26;42.95
496;Ins;3260.0;243;8;20;;43.41;42.95;41.11;34.90;26.99;33.13;34.51;36.94;33.79;34.00
581;Interlaken;5481.0;250;11;6;;57.17;53.65;58.08;51.45;51.39;50.88;45.06;52.00;58.46;48.32
739;Ipsach;3913.0;242;16;13;371;29.60;33.19;44.74;30.71;31.79;33.18;25.92;26.33;23.21;25.29
582;Iseltwald;432.0;250;11;20;;57.50;42.38;43.10;35.43;27.13;25.47;24.80;22.00;18.27;19.04
362;Ittigen;11006.0;246;3;9;351;24.97;28.08;28.36;21.24;25.45;29.94;19.12;21.75;24.38;22.36
868;Jaberg;258.0;246;22;15;;78.49;63.08;76.32;63.21;55.85;48.17;55.28;79.93;71.38;59.40
540;Jegenstorf;4680.0;246;9;10;351;28.15;25.78;26.21;26.96;20.04;18.95;16.48;14.16;15.29;18.46
738;Jens;681.0;243;16;15;;59.14;56.47;55.39;45.36;37.38;34.19;29.79;31.63;33.73;42.98
304;Kallnach;1563.0;243;1;19;;23.63;25.28;16.54;9.28;9.21;7.68;5.46;6.40;6.88;11.99
564;Kandergrund;810.0;249;10;8;;17.44;13.37;3.89;4.59;5.20;16.15;33.48;25.83;24.28;38.58
565;Kandersteg;1261.0;249;10;6;;69.86;49.15;44.16;45.92;32.98;23.76;17.85;18.85;16.64;20.98
305;Kappelen;1278.0;243;1;19;;26.49;27.16;16.98;18.24;17.35;15.90;15.66;13.40;13.61;17.70
869;Kaufdorf;1034.0;246;22;11;351;83.82;61.24;52.45;31.03;20.84;17.73;15.98;15.57;14.79;19.47
870;Kehrsatz;3964.0;246;22;10;351;24.50;11.89;14.57;25.73;19.38;11.85;9.42;10.39;9.63;10.09
411;Kernenried;449.0;245;6;15;;6.29;7.93;8.02;4.30;3.51;3.08;4.37;4.58;5.42;6.06
871;Kienersrüti;52.0;247;22;21;;9.90;13.12;12.77;14.05;13.61;13.83;22.55;20.84;36.53;38.39
611;Kiesen;857.0;246;12;15;;23.65;20.00;23.26;22.18;21.24;17.99;15.96;15.74;11.24;12.73
412;Kirchberg;5613.0;245;6;12;404;26.94;25.38;26.64;25.71;22.97;23.84;19.69;20.00;15.39;11.09
872;Kirchdorf;814.0;246;22;20;;33.68;26.46;31.95;24.19;22.21;29.90;26.93;24.54;20.38;17.42
873;Kirchenthurnen;271.0;246;22;15;;4.37;5.36;4.75;4.70;3.81;4.01;4.73;4.21;4.62;4.87
354;Kirchlindach;2815.0;246;3;11;351;14.72;15.37;20.27;11.20;9.34;9.69;6.57;6.87;6.57;11.57
328;Kleindietwil;0.0;244;2;19;;58.56;49.26;45.40;26.70;5.85;6.80;5.42;5.64;4.68;0.00
