K6 IA Investitionsanteil;;;;;;;;;
Die Bruttoinvestitionen werden in Prozent der konsolidierten Ausgaben dargestellt. Damit
wird ersichtlich, wie hoch der Anteil der Bruttoinvestitionen an den konsolidierten Ausgaben ist.
Die Kennzahl zeigt die Aktivität im Bereich der Investitionen und/oder die Zunahme der
Nettoverschuldung, sie sagt jedoch alleine nichts über die finanzielle Situation der Gemeinde aus.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
692;Eschert;377.0;241;15;19;;16.8;1.8;19.1;1.0;0.00;7.4;17.2;2.2;17.6;26.1
537;Etzelkofen;289.0;246;9;18;;9.8;4.6;26.6;8.6;7.2;9.5;7.4;13.4;8.4;9.1
372;Evilard;2424.0;242;4;5;371;5.2;4.0;7.1;7.2;15.5;12.8;10.2;7.2;12.6;6.1
925;Fahrni;741.0;247;24;20;;8.4;8.8;16.9;4.2;18.6;11.2;10.5;8.1;18.2;25.8
975;Farnern;209.0;244;26;15;;7.4;16.9;1.2;12.5;17.7;33.9;5.3;3.2;28.5;10.3
662;Ferenbalm;1270.0;246;14;15;;5.6;3.3;6.4;2.6;3.4;13.9;2.2;10.3;6.7;4.4
493;Finsterhennen;501.0;243;8;20;;11.7;29.9;46.2;16.1;14.4;18.1;26.2;17.1;16.8;6.7
926;Forst;0.0;247;24;15;;13.6;1.0;2.1;28.0;31.4;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;12.5;6.8;3.5;6.5;3.8
538;Fraubrunnen;1791.0;246;9;11;351;13.7;13.1;4.5;13.3;15.1;19.0;13.8;9.2;43.0;25.3
663;Frauenkappelen;1256.0;246;14;11;351;9.8;6.0;9.5;15.1;7.6;33.6;11.2;13.6;11.0;8.5
