K2 SFA Selbstfinanzierungsanteil;;;;;;;;;
Der Selbstfinanzierungsanteil gibt  Auskunft über die finanzielle Leistungsfähigkeit
einer Gemeinde. Je höher der Wert, um so grösser ist der Spielraum für den Schuldenabbau
oder die Finanzierung von Investitionen und deren Folgekosten.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
303;Grossaffoltern;2812.0;243;1;15;;2.4;7.7;7.0;15.6;12.3;13.3;16.6;12.4;10.7;18.5
608;Grosshöchstetten;3289.0;246;12;11;351;7.0;6.6;8.7;17.3;10.2;7.6;17.2;16.5;6.3;8.1
841;Gsteig;986.0;248;20;20;;24.4;17.7;13.4;9.1;21.7;21.2;19.6;17.0;31.3;29.1
577;Gsteigwiler;430.0;250;11;14;;11.4;19.6;26.8;17.1;23.5;22.4;21.5;21.3;22.3;14.2
852;Guggisberg;1585.0;246;21;21;;10.9;10.6;9.7;5.2;10.8;14.8;10.5;11.0;5.7;22.2
665;Gurbrü;245.0;246;14;21;;9.9;23.2;5.4;11.7;9.0;16.4;6.9;28.4;31.6;2.1
867;Gurzelen;798.0;247;22;19;;10.4;-2.3;-1.7;9.5;4.6;7.1;10.3;1.0;0.4;4.9
327;Gutenburg;0.0;244;2;15;;4.1;6.0;2.3;0.9;68.1;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;10.7;20.2;42.1;17.0;21.8;21.5;21.3;13.4;15.3;17.3
578;Gündlischwand;284.0;250;11;17;;-2.8;25.3;19.3;4.6;-10.5;15.3;28.7;16.2;14.1;12.3
579;Habkern;640.0;250;11;21;;16.9;9.5;19.4;13.1;15.8;17.4;15.3;23.8;18.7;19.5
736;Hagneck;415.0;243;16;15;;22.7;26.3;35.8;12.1;14.7;14.1;1.9;4.2;0.0;0.5
406;Hasle b.B.;3170.0;245;6;16;;16.0;10.9;15.0;21.0;18.6;20.6;22.6;22.6;13.8;15.4
783;Hasliberg;1229.0;250;18;6;;19.8;10.3;19.8;4.8;11.9;22.4;12.2;13.0;21.0;6.6
927;Heiligenschwendi;675.0;247;24;7;;17.5;2.9;9.2;13.9;33.7;19.2;24.4;13.2;17.4;19.6
928;Heimberg;6365.0;247;24;12;942;13.8;16.0;14.3;13.9;16.6;21.8;22.1;15.3;18.2;15.7
977;Heimenhausen;1016.0;244;26;15;;13.0;11.5;12.1;-3.1;47.0;13.5;-0.5;21.4;8.5;6.4
407;Heimiswil;1636.0;245;6;21;;11.7;20.4;12.9;16.0;20.7;16.0;6.2;8.4;3.0;7.2
408;Hellsau;192.0;245;6;19;;25.6;31.4;22.6;2.4;-4.3;-2.5;1.7;12.4;15.0;3.5
610;Herbligen;551.0;246;12;16;;12.4;18.7;14.5;36.9;-22.2;-1.1;8.5;30.2;16.9;22.6
978;Hermiswil;96.0;244;26;20;;6.1;11.2;0.5;-3.9;51.8;-7.6;-12.7;-7.8;-8.2;5.9
737;Hermrigen;262.0;243;16;16;;-4.7;10.7;18.4;15.3;11.2;26.7;11.5;6.3;13.6;7.4
979;Herzogenbuchsee;6795.0;244;26;4;;7.4;6.6;16.7;10.9;54.1;12.3;0.6;0.0;-0.4;-0.8
929;Hilterfingen;3998.0;247;24;13;942;10.7;14.1;12.1;13.0;19.5;26.7;15.9;28.1;25.0;15.8
409;Hindelbank;2094.0;245;6;17;;11.9;6.1;5.8;7.5;7.2;9.0;3.9;11.8;13.8;2.9
580;Hofstetten b.B.;567.0;250;11;17;;16.6;15.7;14.0;6.0;7.7;10.0;8.9;23.1;23.8;24.2
931;Homberg;502.0;247;24;21;;7.6;8.6;15.5;13.7;21.4;18.0;4.6;18.2;16.7;32.4
932;Horrenbach-Buchen;259.0;247;24;21;;9.1;9.8;1.4;5.8;8.7;6.4;10.2;13.0;17.7;13.1
954;Huttwil;4726.0;244;25;18;;16.8;37.8;17.8;23.2;60.4;21.4;7.4;16.6;13.9;12.4
609;Häutligen;239.0;246;12;21;;27.1;27.3;15.1;-1.7;37.5;9.0;9.1;0.1;8.2;10.3
410;Höchstetten;258.0;245;6;19;;3.2;11.8;18.6;11.6;1.7;13.7;12.0;-3.2;12.4;14.6
930;Höfen;441.0;247;24;16;;15.7;3.6;5.0;23.9;21.0;17.7;8.3;9.8;27.7;14.0
541;Iffwil;409.0;246;9;20;;-11.8;12.6;17.9;-1.6;-12.8;1.7;8.7;2.1;4.9;15.8
980;Inkwil;638.0;244;26;15;;-7.8;10.6;7.4;8.0;41.7;8.5;-0.5;16.4;-3.6;5.0
784;Innertkirchen;886.0;250;18;19;;9.7;8.0;18.0;17.6;17.0;11.8;15.0;12.6;25.6;13.7
496;Ins;3260.0;243;8;20;;11.1;10.4;13.9;16.5;15.6;16.5;16.3;16.8;16.9;15.5
581;Interlaken;5481.0;250;11;6;;4.4;10.8;12.2;8.4;14.5;16.3;22.2;25.3;24.2;22.9
739;Ipsach;3913.0;242;16;13;371;9.7;7.8;-4.1;3.7;5.9;10.3;10.1;12.9;9.4;2.7
582;Iseltwald;432.0;250;11;20;;15.8;21.2;28.9;15.8;24.1;23.5;19.2;21.2;32.8;27.8
362;Ittigen;11006.0;246;3;9;351;0.9;1.8;10.1;24.5;9.7;15.2;21.0;19.6;16.0;7.5
868;Jaberg;258.0;246;22;15;;2.2;-0.0;8.7;17.5;9.6;25.3;3.4;-2.1;8.6;14.5
540;Jegenstorf;4680.0;246;9;10;351;11.0;20.2;8.8;8.8;11.5;24.2;17.2;9.2;10.5;9.8
738;Jens;681.0;243;16;15;;22.4;12.8;12.1;14.2;18.0;19.8;19.9;16.1;14.9;11.0
304;Kallnach;1563.0;243;1;19;;23.9;13.3;14.8;10.1;15.9;24.0;13.2;18.0;22.2;24.4
564;Kandergrund;810.0;249;10;8;;33.3;25.6;38.0;20.9;11.7;-15.4;-0.7;-11.8;8.1;12.6
565;Kandersteg;1261.0;249;10;6;;22.9;20.0;17.4;11.2;24.0;21.7;20.0;14.6;20.7;14.3
305;Kappelen;1278.0;243;1;19;;25.1;32.8;21.8;16.8;10.3;26.5;12.3;28.1;13.6;24.7
869;Kaufdorf;1034.0;246;22;11;351;20.1;27.6;40.8;26.7;9.0;22.6;12.6;14.2;8.2;4.5
870;Kehrsatz;3964.0;246;22;10;351;9.9;25.3;5.8;-23.0;-5.1;21.6;21.9;17.1;10.1;12.1
411;Kernenried;449.0;245;6;15;;24.4;14.9;6.3;0.3;14.3;14.6;7.7;9.9;7.8;-13.1
871;Kienersrüti;52.0;247;22;21;;22.6;14.4;22.4;-8.7;9.7;0.4;11.7;10.2;0.3;-6.5
611;Kiesen;857.0;246;12;15;;17.0;15.4;2.0;-0.2;7.2;10.5;9.9;14.4;15.9;4.4
412;Kirchberg;5613.0;245;6;12;404;7.1;7.2;7.8;13.9;16.3;13.2;14.2;13.5;25.0;25.4
872;Kirchdorf;814.0;246;22;20;;2.4;5.4;8.8;9.4;13.7;5.9;6.2;9.3;11.8;23.5
873;Kirchenthurnen;271.0;246;22;15;;9.3;19.4;20.1;18.1;15.0;22.5;4.7;5.7;4.2;8.2
354;Kirchlindach;2815.0;246;3;11;351;8.6;6.2;8.4;22.1;26.5;31.4;3.0;0.4;5.3;0.4
328;Kleindietwil;0.0;244;2;19;;12.8;19.1;11.7;13.1;58.2;11.5;-1.2;8.7;-1.6;0.00
612;Konolfingen;4739.0;246;12;9;351;0.2;7.4;13.8;-1.3;8.0;11.9;8.6;9.3;14.7;17.7
413;Koppigen;2070.0;245;6;17;;10.4;9.9;9.7;14.0;13.1;26.6;11.5;8.7;7.5;4.5
566;Krattigen;989.0;249;10;17;;23.0;16.1;22.4;18.6;23.1;23.4;18.3;17.7;16.6;22.3
414;Krauchthal;2318.0;245;6;15;;7.7;9.0;11.2;14.6;12.4;14.2;12.9;11.9;10.6;13.7
666;Kriechenwil;410.0;246;14;20;;8.4;18.6;20.6;20.6;20.1;18.2;18.6;34.9;18.0;2.2
355;Köniz;38633.0;246;3;9;351;2.0;8.1;11.5;5.5;8.9;12.0;8.6;4.9;6.4;8.7
435;La Ferrière;545.0;241;7;19;;9.6;19.5;8.7;4.9;15.7;10.6;12.2;8.3;8.6;8.2
436;La Heutte;486.0;241;7;15;;2.6;29.7;-13.3;11.6;9.5;17.0;8.4;2.2;-3.5;14.2
723;La Neuveville;3559.0;241;13;17;;4.4;8.4;6.3;5.1;5.6;11.4;8.3;9.3;3.4;5.1
722;Lamboing;682.0;241;13;16;;1.6;10.1;8.2;11.0;13.8;15.1;12.3;12.1;9.7;16.1
613;Landiswil;628.0;246;12;21;;28.2;16.6;9.0;-4.1;4.0;13.4;14.7;8.4;-2.7;12.2
329;Langenthal;15017.0;244;2;3;;7.0;2.9;7.6;12.9;59.7;11.4;15.8;12.7;4.8;3.3
902;Langnau i.E.;9018.0;245;23;3;;14.7;11.0;12.9;11.2;14.1;15.1;12.2;12.4;14.5;9.5
842;Lauenen;810.0;248;20;21;;23.7;2.1;10.3;14.2;13.7;19.5;18.6;31.2;24.2;21.7
667;Laupen;2830.0;246;14;10;351;-4.0;5.6;21.1;19.8;19.0;20.6;19.0;14.6;20.6;16.6
903;Lauperswil;2680.0;245;23;19;;15.0;18.8;11.1;9.8;8.0;8.6;6.5;12.3;9.6;12.8
584;Lauterbrunnen;2741.0;250;11;6;;12.0;13.9;9.6;9.6;11.6;26.5;15.9;16.8;14.2;17.9
330;Leimiswil;0.0;244;2;19;;9.6;8.0;9.5;4.5;64.2;10.0;14.9;-3.4;10.4;0.00
