K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
979;Herzogenbuchsee;6795.0;244;26;4;;0.05;0.06;0.02;0.06;0.07;0.24;0.15;0.09;0.03;0.06
929;Hilterfingen;3998.0;247;24;13;942;0.11;0.00;0.06;0.07;0.04;0.05;0.02;0.02;0.05;0.11
409;Hindelbank;2094.0;245;6;17;;0.00;0.01;0.14;0.04;0.02;0.06;0.04;0.02;0.06;0.05
580;Hofstetten b.B.;567.0;250;11;17;;0.09;0.04;0.00;0.01;0.10;0.05;0.03;0.04;0.21;0.12
931;Homberg;502.0;247;24;21;;0.11;0.05;0.02;0.02;0.01;0.05;0.06;0.03;0.03;0.21
932;Horrenbach-Buchen;259.0;247;24;21;;0.06;-0.09;0.03;0.13;-0.19;0.01;0.17;0.06;0.06;0.18
954;Huttwil;4726.0;244;25;18;;0.00;0.37;0.10;0.11;0.05;0.11;0.15;0.24;0.08;0.12
609;Häutligen;239.0;246;12;21;;0.01;0.14;0.04;0.10;0.02;0.12;0.00;-0.01;-0.01;0.11
410;Höchstetten;258.0;245;6;19;;0.00;0.00;0.00;0.00;0.03;0.10;0.10;0.01;0.26;0.04
930;Höfen;441.0;247;24;16;;0.03;0.11;0.07;0.07;0.01;0.03;0.06;0.02;0.03;0.00
541;Iffwil;409.0;246;9;20;;0.36;0.10;0.06;0.02;0.07;0.01;0.13;0.13;0.01;0.03
980;Inkwil;638.0;244;26;15;;0.00;0.17;0.01;0.05;0.00;0.08;0.03;0.03;0.03;0.02
784;Innertkirchen;886.0;250;18;19;;0.06;0.01;0.06;0.09;0.13;0.12;0.12;0.18;0.15;0.29
496;Ins;3260.0;243;8;20;;0.00;0.17;0.06;0.05;0.07;0.36;0.25;0.17;0.16;0.16
581;Interlaken;5481.0;250;11;6;;0.24;0.06;0.10;0.09;0.23;0.11;0.17;0.32;0.27;0.21
739;Ipsach;3913.0;242;16;13;371;0.02;0.05;0.05;0.04;-0.01;0.04;-0.01;0.00;0.04;0.06
582;Iseltwald;432.0;250;11;20;;0.06;0.18;0.13;0.15;0.22;0.09;0.03;0.07;0.13;0.15
362;Ittigen;11006.0;246;3;9;351;0.18;0.13;0.05;-0.01;0.09;0.13;0.03;0.04;0.07;0.10
868;Jaberg;258.0;246;22;15;;0.04;0.09;0.03;0.02;0.04;0.24;0.00;0.03;0.07;0.01
540;Jegenstorf;4680.0;246;9;10;351;0.00;0.07;0.12;0.02;0.07;0.10;0.19;0.09;0.14;0.08
738;Jens;681.0;243;16;15;;0.00;0.02;-0.03;0.04;0.02;0.01;0.12;0.28;0.39;0.56
304;Kallnach;1563.0;243;1;19;;0.07;0.00;0.11;0.05;0.04;0.02;0.13;0.06;0.28;0.32
