K3 KDA Kapitaldienstanteil;;;;;;;;;
Der Kapitaldienstanteil gibt Antwort auf die Frage, wie stark der Finanzertrag durch den
Zinsendienst und die Abschreibungen belastet ist. Ein hoher Kapitaldienstanteil weist auf eine
hohe Verschuldung und / oder einen hohen Abschreibungsbedarf hin.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
978;Hermiswil;96.0;244;26;20;;-3.2;-2.0;-0.5;-1.3;-0.8;-7.0;-0.2;-1.7;-0.8;2.8
737;Hermrigen;262.0;243;16;16;;2.4;8.0;4.6;6.1;9.4;4.7;2.0;2.2;2.3;5.5
979;Herzogenbuchsee;6795.0;244;26;4;;6.6;5.9;4.3;1.9;0.8;3.1;1.9;-1.3;-1.2;-1.1
929;Hilterfingen;3998.0;247;24;13;942;3.6;2.4;5.7;9.2;11.8;8.5;10.1;9.5;4.0;3.4
409;Hindelbank;2094.0;245;6;17;;0.7;0.2;2.8;3.1;2.2;1.8;3.2;2.9;3.6;2.6
580;Hofstetten b.B.;567.0;250;11;17;;15.1;13.5;11.2;10.5;9.0;9.6;8.4;1.2;-0.0;-3.8
931;Homberg;502.0;247;24;21;;13.9;11.1;9.3;5.6;4.9;11.1;4.4;4.2;3.7;3.5
932;Horrenbach-Buchen;259.0;247;24;21;;0.7;0.8;-1.2;-0.8;-2.9;-3.1;-1.5;-2.1;-0.7;0.0
954;Huttwil;4726.0;244;25;18;;10.3;4.3;3.3;4.0;1.9;1.7;8.0;5.5;4.8;8.3
609;Häutligen;239.0;246;12;21;;5.7;-1.5;-1.4;-1.9;35.0;-2.3;-2.2;6.2;1.2;2.6
410;Höchstetten;258.0;245;6;19;;11.5;4.1;2.7;2.6;3.0;2.9;6.0;6.4;7.8;11.0
930;Höfen;441.0;247;24;16;;17.7;11.4;11.3;22.5;16.0;10.1;12.3;11.4;12.4;9.5
541;Iffwil;409.0;246;9;20;;-0.3;-8.8;0.7;-1.6;1.0;0.7;1.8;4.4;3.3;3.0
980;Inkwil;638.0;244;26;15;;2.0;6.4;2.5;2.5;2.1;2.5;2.8;2.2;3.2;2.1
784;Innertkirchen;886.0;250;18;19;;10.4;21.2;12.6;11.2;9.1;8.4;4.8;11.3;10.2;15.7
496;Ins;3260.0;243;8;20;;9.1;8.6;7.4;8.0;6.8;9.2;9.7;10.3;9.8;9.4
581;Interlaken;5481.0;250;11;6;;11.6;11.9;11.6;12.2;12.8;12.8;11.3;12.6;11.9;12.6
739;Ipsach;3913.0;242;16;13;371;9.1;8.8;8.9;7.4;6.4;5.0;4.0;4.2;4.0;4.0
582;Iseltwald;432.0;250;11;20;;6.5;5.4;6.4;10.8;7.9;3.0;2.6;3.5;3.8;3.1
362;Ittigen;11006.0;246;3;9;351;6.0;7.6;6.6;4.4;3.9;4.0;2.0;5.0;2.0;1.9
868;Jaberg;258.0;246;22;15;;4.6;4.9;5.5;2.3;1.5;1.8;3.7;3.6;0.5;-1.0
540;Jegenstorf;4680.0;246;9;10;351;10.8;9.5;6.0;4.7;8.9;7.4;5.9;6.2;5.9;6.1
738;Jens;681.0;243;16;15;;20.0;15.9;16.1;14.6;10.2;9.3;9.7;12.7;11.9;12.0
304;Kallnach;1563.0;243;1;19;;2.7;2.2;4.5;5.0;4.4;4.0;4.9;7.0;7.8;10.0
564;Kandergrund;810.0;249;10;8;;6.2;3.7;1.9;0.6;3.1;2.1;3.9;5.7;5.1;5.6
565;Kandersteg;1261.0;249;10;6;;8.3;6.9;7.2;6.2;5.9;4.4;4.0;3.9;4.6;7.3
305;Kappelen;1278.0;243;1;19;;5.1;10.6;11.2;9.7;13.6;11.0;11.3;9.3;7.2;11.5
869;Kaufdorf;1034.0;246;22;11;351;22.6;23.7;28.7;8.1;8.4;9.6;8.4;8.4;7.9;8.8
870;Kehrsatz;3964.0;246;22;10;351;11.0;6.7;9.3;14.9;15.7;9.6;9.1;9.9;8.7;9.4
411;Kernenried;449.0;245;6;15;;-5.3;-6.7;-6.5;-6.0;-4.2;-4.2;-6.2;-4.4;-3.6;-2.0
871;Kienersrüti;52.0;247;22;21;;2.9;-1.7;-0.6;1.8;1.2;0.1;-2.8;-6.0;-6.7;-7.1
611;Kiesen;857.0;246;12;15;;2.5;2.0;1.2;0.8;1.4;1.2;0.5;0.5;1.1;0.6
412;Kirchberg;5613.0;245;6;12;404;8.6;8.3;8.4;11.0;8.2;13.5;10.9;11.8;22.0;18.3
872;Kirchdorf;814.0;246;22;20;;7.8;8.0;8.3;6.4;7.0;9.1;8.8;8.3;7.4;6.3
873;Kirchenthurnen;271.0;246;22;15;;2.5;2.7;1.4;1.8;0.3;-0.4;1.8;-0.6;-0.3;-0.1
354;Kirchlindach;2815.0;246;3;11;351;1.5;3.5;7.9;4.6;2.8;2.0;2.6;4.0;4.1;2.2
328;Kleindietwil;0.0;244;2;19;;15.5;15.5;6.9;5.7;3.1;2.1;4.2;4.2;9.3;0.00
612;Konolfingen;4739.0;246;12;9;351;3.5;11.0;11.6;8.0;3.8;4.5;1.7;1.3;7.5;1.5
413;Koppigen;2070.0;245;6;17;;10.3;8.4;7.9;6.9;6.4;15.3;6.6;6.2;6.0;6.6
566;Krattigen;989.0;249;10;17;;9.3;10.6;12.8;11.1;9.5;9.8;8.0;9.4;8.7;8.0
414;Krauchthal;2318.0;245;6;15;;7.3;2.4;5.4;8.7;4.3;9.8;9.6;10.8;12.8;19.3
666;Kriechenwil;410.0;246;14;20;;10.2;7.9;7.3;5.1;4.1;3.4;3.1;6.0;4.2;7.3
355;Köniz;38633.0;246;3;9;351;7.4;9.2;7.3;5.1;9.8;5.7;7.1;6.7;7.3;6.3
435;La Ferrière;545.0;241;7;19;;1.9;1.0;0.9;1.3;0.7;1.8;0.0;-0.1;0.1;-0.7
436;La Heutte;486.0;241;7;15;;8.8;9.3;13.8;11.8;7.0;5.2;5.4;5.9;8.8;11.0
723;La Neuveville;3559.0;241;13;17;;2.2;3.6;3.4;3.2;3.1;3.3;2.0;3.3;3.2;3.2
722;Lamboing;682.0;241;13;16;;9.2;10.2;16.5;10.8;12.2;7.6;7.4;6.1;7.0;6.1
613;Landiswil;628.0;246;12;21;;4.7;1.0;2.5;5.9;4.8;5.3;5.2;4.5;4.7;10.0
329;Langenthal;15017.0;244;2;3;;10.6;12.7;11.2;12.0;1.9;3.1;5.8;0.8;4.0;4.7
902;Langnau i.E.;9018.0;245;23;3;;6.4;6.9;7.0;5.7;5.7;5.7;5.9;5.9;5.6;7.0
842;Lauenen;810.0;248;20;21;;8.9;11.1;9.0;9.0;9.6;9.2;8.4;9.4;13.7;17.2
667;Laupen;2830.0;246;14;10;351;17.6;17.1;20.8;15.8;12.9;14.3;11.6;18.1;14.2;12.4
903;Lauperswil;2680.0;245;23;19;;3.6;2.5;1.2;1.5;1.5;1.4;1.6;3.4;4.7;9.3
584;Lauterbrunnen;2741.0;250;11;6;;10.2;9.9;10.2;8.9;9.9;8.3;8.4;8.9;11.6;9.6
330;Leimiswil;0.0;244;2;19;;4.5;5.1;4.6;4.7;1.4;3.0;0.9;4.2;6.6;0.00
585;Leissigen;932.0;250;11;17;;10.2;18.4;13.0;16.2;16.6;16.5;15.4;15.1;13.7;12.7
387;Lengnau;4627.0;242;5;14;;12.9;6.8;6.8;6.4;5.4;6.2;3.3;3.4;4.8;4.4
792;Lenk;2419.0;248;19;6;;16.6;14.2;10.0;9.6;9.5;7.9;8.4;12.9;12.0;8.9
388;Leuzigen;1200.0;243;5;16;;9.3;6.5;7.9;7.7;5.9;6.0;6.1;5.3;4.1;4.2
740;Ligerz;521.0;242;16;20;;6.1;7.0;9.8;7.1;3.2;4.6;4.0;2.6;3.5;4.2
542;Limpach;359.0;246;9;20;;3.2;0.1;-0.6;-1.1;-0.8;-1.9;-2.3;-1.8;-2.3;-2.0
614;Linden;1321.0;246;12;19;;7.1;4.7;4.6;5.5;5.4;4.5;7.4;9.5;8.9;8.4
874;Lohnstorf;224.0;246;22;21;;9.2;8.3;7.0;7.0;14.7;8.8;7.4;6.8;7.0;8.2
331;Lotzwil;2462.0;244;2;15;;3.3;5.5;2.9;4.5;1.7;2.0;2.6;2.0;2.5;4.7
696;Loveresse;317.0;241;15;19;;13.1;16.8;9.9;8.7;12.7;6.4;6.4;9.3;10.0;11.2
306;Lyss;13776.0;243;1;3;;4.4;4.6;8.5;8.2;5.4;7.1;7.2;8.0;6.4;6.2
415;Lyssach;1427.0;245;6;12;404;8.8;9.2;17.6;5.4;5.5;5.4;5.7;5.3;4.7;6.6
933;Längenbühl;0.0;247;24;20;;7.0;5.2;4.2;5.1;5.6;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;-1.6;-1.6;-2.2;-2.3;-1.7;-0.8;-0.9;-0.7;0.2;-0.9
586;Lütschental;240.0;250;11;20;;-0.0;-2.2;0.2;13.9;17.5;22.1;11.2;6.9;6.9;5.4
955;Lützelflüh;4075.0;245;25;19;;4.7;4.4;7.9;6.4;6.6;5.7;6.6;6.1;7.3;6.8
332;Madiswil;3140.0;244;2;20;;6.1;6.3;5.4;4.3;2.2;2.5;2.7;3.7;1.4;1.6
697;Malleray;1970.0;241;15;18;;15.8;15.8;14.4;13.9;9.4;20.7;7.6;9.5;10.0;9.1
587;Matten b.I.;3780.0;250;11;13;;14.2;13.0;16.9;13.5;14.4;11.2;12.5;9.1;11.2;15.8
543;Mattstetten;588.0;246;9;11;351;3.5;3.2;3.6;2.4;1.5;1.8;1.3;2.2;2.0;3.0
389;Meienried;53.0;243;5;20;;-20.3;-22.2;-7.7;-8.9;-7.8;-8.0;-8.8;-7.0;-7.2;48.7
307;Meikirch;2344.0;246;1;11;351;5.2;4.0;4.5;3.5;2.5;1.1;0.4;0.4;0.5;1.2
390;Meinisberg;1292.0;242;5;15;;9.3;9.8;8.6;9.4;8.0;6.7;7.4;7.9;7.3;7.1
785;Meiringen;4581.0;250;18;7;;11.1;9.8;9.3;8.1;8.0;6.8;6.5;6.9;6.4;9.0
333;Melchnau;1567.0;244;2;19;;12.2;10.2;6.5;6.5;4.8;3.6;2.5;2.7;2.4;3.0
741;Merzligen;411.0;243;16;15;;3.8;3.1;2.5;3.4;0.9;3.2;2.8;1.2;3.2;-0.4
615;Mirchel;578.0;246;12;16;;6.9;2.6;1.3;2.2;6.8;7.8;10.0;10.2;12.2;14.8
