K30 EBPS EK / BF pro Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
578;Gündlischwand;284.0;250;11;17;;26.32;24.39;29.53;30.91;22.40;21.18;26.71;28.13;32.75;32.21
579;Habkern;640.0;250;11;21;;73.91;87.33;43.45;47.29;48.28;50.48;49.85;45.47;45.20;48.77
736;Hagneck;415.0;243;16;15;;1.23;5.73;13.99;20.55;17.94;17.56;17.37;18.34;19.76;19.59
406;Hasle b.B.;3170.0;245;6;16;;1.75;1.79;0.19;3.96;7.33;11.91;14.84;16.97;19.19;18.81
783;Hasliberg;1229.0;250;18;6;;10.80;11.88;10.04;8.29;6.37;9.00;7.53;8.25;9.16;4.59
927;Heiligenschwendi;675.0;247;24;7;;44.22;49.77;44.10;42.18;37.98;41.19;34.83;34.28;25.99;24.49
928;Heimberg;6365.0;247;24;12;942;7.86;7.20;7.82;8.08;7.11;6.63;9.19;9.73;11.21;12.24
977;Heimenhausen;1016.0;244;26;15;;23.47;25.13;25.95;32.23;31.41;31.71;27.67;31.46;31.14;28.90
407;Heimiswil;1636.0;245;6;21;;11.41;11.14;11.42;12.30;12.05;11.31;10.99;11.24;10.79;10.97
408;Hellsau;192.0;245;6;19;;34.92;28.27;34.93;30.17;31.00;34.23;26.86;27.53;24.68;27.35
610;Herbligen;551.0;246;12;16;;1.68;3.39;5.96;7.22;6.22;2.95;3.02;15.77;19.10;21.15
978;Hermiswil;96.0;244;26;20;;65.33;54.56;48.04;49.90;66.58;80.88;80.53;73.96;55.56;62.16
737;Hermrigen;262.0;243;16;16;;28.63;27.81;23.34;24.44;25.31;22.89;25.89;25.02;25.14;29.17
979;Herzogenbuchsee;6795.0;244;26;4;;16.99;15.88;13.74;12.83;13.76;10.79;9.10;8.44;7.27;5.58
929;Hilterfingen;3998.0;247;24;13;942;0.00;0.00;3.55;3.95;4.40;5.99;6.14;7.49;10.73;12.46
409;Hindelbank;2094.0;245;6;17;;15.46;13.50;13.84;12.25;12.96;12.88;10.73;11.12;9.96;11.40
580;Hofstetten b.B.;567.0;250;11;17;;15.13;14.19;13.38;9.04;9.39;8.27;8.41;10.56;11.81;13.69
931;Homberg;502.0;247;24;21;;3.02;0.83;2.14;5.88;12.37;11.22;10.58;13.50;18.61;21.81
932;Horrenbach-Buchen;259.0;247;24;21;;43.58;37.77;32.44;28.07;32.44;35.41;33.33;38.33;50.09;41.67
954;Huttwil;4726.0;244;25;18;;3.26;5.14;7.23;10.44;60.82;62.99;59.63;59.85;56.87;62.19
609;Häutligen;239.0;246;12;21;;75.24;59.55;71.66;56.91;57.15;43.94;41.44;38.10;36.96;29.40
410;Höchstetten;258.0;245;6;19;;4.05;5.49;11.82;15.78;15.80;15.97;18.14;20.34;14.49;16.96
930;Höfen;441.0;247;24;16;;9.12;9.48;15.59;4.34;2.51;3.59;2.16;2.10;7.16;7.47
541;Iffwil;409.0;246;9;20;;31.29;22.27;21.42;22.88;20.92;16.44;16.06;16.24;17.73;16.21
980;Inkwil;638.0;244;26;15;;17.27;15.43;17.61;17.55;39.48;35.76;35.70;34.60;34.63;32.38
784;Innertkirchen;886.0;250;18;19;;22.20;22.87;20.32;20.31;18.73;19.63;14.65;18.56;18.88;15.85
496;Ins;3260.0;243;8;20;;6.90;6.71;8.93;10.35;12.49;11.18;10.19;10.80;10.38;10.10
581;Interlaken;5481.0;250;11;6;;3.75;3.65;3.87;1.72;2.08;2.98;4.94;5.76;6.09;6.22
739;Ipsach;3913.0;242;16;13;371;5.86;6.78;3.44;2.03;2.14;3.18;3.55;4.84;5.72;5.85
582;Iseltwald;432.0;250;11;20;;9.14;7.46;8.56;9.07;9.11;12.54;15.73;15.67;13.14;14.52
362;Ittigen;11006.0;246;3;9;351;4.56;2.50;2.23;3.64;4.99;4.58;5.20;5.26;6.05;6.60
868;Jaberg;258.0;246;22;15;;25.61;16.45;13.09;12.88;13.12;13.34;15.18;16.33;15.20;16.24
540;Jegenstorf;4680.0;246;9;10;351;10.88;10.11;10.18;9.85;9.35;8.10;7.50;7.70;7.41;7.11
738;Jens;681.0;243;16;15;;1.58;1.07;0.48;0.63;2.90;5.25;8.07;8.77;8.52;8.23
304;Kallnach;1563.0;243;1;19;;5.53;6.14;7.11;6.81;8.22;10.61;12.35;14.13;17.69;19.09
564;Kandergrund;810.0;249;10;8;;8.27;9.93;11.53;15.72;16.16;25.83;24.23;23.07;21.32;21.69
565;Kandersteg;1261.0;249;10;6;;4.59;5.06;5.75;6.26;5.94;5.61;5.91;6.74;8.73;12.26
305;Kappelen;1278.0;243;1;19;;11.69;14.30;14.17;15.22;14.32;12.64;11.39;11.26;11.71;12.62
869;Kaufdorf;1034.0;246;22;11;351;17.02;9.23;1.41;5.53;6.24;6.63;8.00;8.29;8.70;8.67
870;Kehrsatz;3964.0;246;22;10;351;6.21;8.67;9.40;7.82;2.72;4.03;6.37;6.99;7.07;7.35
411;Kernenried;449.0;245;6;15;;63.43;77.68;89.94;82.74;80.02;79.29;80.08;78.60;75.76;83.31
871;Kienersrüti;52.0;247;22;21;;36.92;62.77;43.94;44.50;37.08;34.68;43.09;37.29;38.77;45.08
611;Kiesen;857.0;246;12;15;;9.48;12.06;17.74;16.07;16.83;15.64;17.95;19.98;20.28;22.84
412;Kirchberg;5613.0;245;6;12;404;3.41;3.81;2.70;2.76;3.11;2.73;2.63;3.12;3.67;3.84
872;Kirchdorf;814.0;246;22;20;;5.99;4.57;5.52;4.88;7.66;6.65;5.47;5.62;6.67;9.23
873;Kirchenthurnen;271.0;246;22;15;;16.65;18.01;19.70;20.80;23.97;26.62;17.03;18.02;18.79;18.32
